               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
86,0.048576,0.029589,0.066344,0.52037,0.062515,0.028946,0.017015,0.058343,0.02543,0.074605,0.001585,0.001585,0.001585
87,0.047422,0.028259,0.066998,0.5259,0.059733,0.02464,0.01427,0.059079,0.02549,0.074777,0.001486,0.001486,0.001486
88,0.04848,0.029745,0.066632,0.54843,0.0662,0.030376,0.018151,0.058276,0.025644,0.074326,0.001387,0.001387,0.001387
89,0.047365,0.028232,0.065842,0.58673,0.070631,0.032617,0.019309,0.057244,0.025133,0.074502,0.001288,0.001288,0.001288
90,0.048139,0.030069,0.065781,0.56761,0.072633,0.03047,0.01806,0.057622,0.02555,0.074725,0.001189,0.001189,0.001189
91,0.047869,0.028406,0.066058,0.53204,0.07113,0.030158,0.017857,0.057729,0.025628,0.074585,0.00109,0.00109,0.00109
92,0.046844,0.029534,0.065841,0.53068,0.069395,0.028022,0.016852,0.057772,0.025753,0.074464,0.000991,0.000991,0.000991
93,0.046316,0.028359,0.065541,0.55129,0.070742,0.027828,0.016896,0.057742,0.025593,0.074672,0.000892,0.000892,0.000892
94,0.046489,0.028091,0.065206,0.53142,0.06777,0.029224,0.018274,0.05794,0.025326,0.0744,0.000793,0.000793,0.000793
95,0.047213,0.028788,0.065517,0.53477,0.07102,0.029545,0.018074,0.057544,0.025533,0.074509,0.000694,0.000694,0.000694
96,0.046441,0.028232,0.064696,0.55408,0.065829,0.028699,0.017272,0.056974,0.025489,0.074198,0.000595,0.000595,0.000595
97,0.045431,0.028648,0.066782,0.49074,0.069707,0.031043,0.019055,0.057028,0.025577,0.074323,0.000496,0.000496,0.000496
98,0.045579,0.028556,0.064651,0.53159,0.082112,0.034898,0.020005,0.057592,0.025535,0.074351,0.000397,0.000397,0.000397
99,0.045959,0.026809,0.065824,0.53113,0.070587,0.0292,0.017841,0.057564,0.025407,0.074392,0.000298,0.000298,0.000298
